"province","district","commune"
"Bac Giang","Viet Yen","Huong Mai"
"Bac Giang","Lang Giang","Thi Tran Kep"
"Bac Giang","Thanh pho Bac Giang","Le Loi"
"Bac Giang","Luc Nam","Tam Di"
"Bac Giang","Viet Yen","Thi tran Nenh"
"Bac Giang","Luc Ngan","Thanh Hai"
"Bac Giang","Luc Nam","Dan Hoi"
"Bac Giang","Yen Dung","Tien Phong"
"Bac Giang","Luc Nam","Dong Phu"
"Bac Giang","Luc Ngan","Phu Nhuan"
"Bac Giang","Lang Giang","Tan Hung"
"Bac Giang","Hiep Hoa","Hoang An"
"Bac Giang","Lang Giang","Tien Luc"
"Bac Giang","Luc Ngan","Thi Tran Chu"
"Bac Giang","Viet Yen","Tang Tien"
"Bac Giang","Viet Yen","Quang Chau"
"Bac Giang","Hiep Hoa","Hoang Thanh"
"Bac Giang","Viet Yen","Hong Thai"
"Bac Giang","Luc Ngan","Cam Son"
"Bac Giang","Lang Giang","An Ha"
"Bac Giang","Viet Yen","Quang Minh"
"Bac Giang","Hiep Hoa","Luong Phong"
"Bac Giang","Thanh pho Bac Giang","Dinh Tri"
"Bac Giang","Hiep Hoa","Mai Trung"
"Bac Giang","Hiep Hoa","Thuong Thang"
"Bac Giang","Hiep Hoa","Mai Dinh"
"Bac Giang","Hiep Hoa","Quang Minh"
"Bac Giang","Hiep Hoa","Thai Son"
"Bac Giang","Thanh pho Bac Giang","Dinh Ke"
"Bac Giang","Hiep Hoa","Hoa Son"
"Bac Giang","Hiep Hoa","Dong Lo"
"Bac Giang","Yen Dung","TT Tan An"
"Bac Giang","Thanh pho Bac Giang","Song Mai"
"Bac Giang","Hiep Hoa","Ngoc Son"
"Bac Giang","Hiep Hoa","Doan Bai"
"Bac Giang","Hiep Hoa","Danh Thang"
"Bac Giang","Hiep Hoa","Xuan Cam"
"Bac Giang","Viet Yen","Van Ha"
"Bac Giang","Hiep Hoa","Hoang Van"
"Bac Giang","Hiep Hoa","Chau Minh"
"Bac Giang","Hiep Hoa","Bac Ly"
"Bac Giang","Hiep Hoa","Hung Son"
"Bac Giang","Luc Nam","Thanh Lam"
"Bac Giang","Hiep Hoa","Thi Tran Thang"
"Bac Giang","Thanh pho Bac Giang","Tan Tien"
"Bac Giang","Thanh pho Bac Giang","Tho Xuong"
"Bac Giang","Hiep Hoa","Hoang Luong"
"Bac Giang","Hiep Hoa","Thanh Van"
"Bac Giang","Yen The","Canh Nau"
"Bac Giang","Tan Yen","Phuc Son"
"Bac Giang","Lang Giang","Thi Tran Voi"
"Bac Giang","Yen The","Xuan Luong"
"Bac Giang","Yen The","Tien Thang"
"Bac Giang","Luc Ngan","My An"
"Bac Giang","Son Dong","Huu San"
"Bac Giang","Yen The","Tam Tien"
"Bac Giang","Yen The","Dong Lac"
"Bac Giang","Lang Giang","Yen My"
"Bac Giang","Yen Dung","Huong Gian"
"Bac Giang","Luc Ngan","Nam Duong"
"Bac Giang","Luc Nam","Huyen Son"
"Bac Giang","Tan Yen","Tan Trung"
"Bac Giang","Yen The","Tan Soi"
"Bac Giang","Luc Nam","Bao Dai"
"Bac Giang","Tan Yen","Thi tran Nha Nam"
"Bac Giang","Lang Giang","Thai Dao"
"Bac Giang","Viet Yen","Tu Lan"
"Bac Giang","Yen The","Dong Tien"
"Bac Giang","Luc Ngan","Son Hai"
"Bac Giang","Lang Giang","My Ha"
"Bac Giang","Lang Giang","Huong Lac"
"Bac Giang","Luc Nam","Lan Mau"
"Bac Giang","Yen The","Hong Ky"
"Bac Giang","Son Dong","Giao Liem"
"Bac Giang","Yen Dung","TT Nham Bien"
"Bac Giang","Tan Yen","Lien Son"
"Bac Giang","Tan Yen","Song Van"
"Bac Giang","Lang Giang","Xuong Lam"
"Bac Giang","Lang Giang","Dao My"
"Bac Giang","Luc Nam","Bac Lung"
"Bac Giang","Luc Nam","Vo Tranh"
"Bac Giang","Son Dong","An Ba"
"Bac Giang","Lang Giang","Nghia Hoa"
"Bac Giang","Tan Yen","Ngoc Van"
"Bac Giang","Luc Ngan","Phuong Son"
"Bac Giang","Viet Yen","Viet Tien"
"Bac Giang","Yen Dung","Canh Thuy"
"Bac Giang","Yen Dung","Lang Son"
"Bac Giang","Luc Ngan","Tan Quang"
"Bac Giang","Lang Giang","Quang Thinh"
"Bac Giang","Lang Giang","Tan Dinh"
"Bac Giang","Luc Ngan","Quy Son"
"Bac Giang","Yen Dung","Quynh Son"
"Bac Giang","Luc Ngan","Kien Thanh"
"Bac Giang","Yen Dung","Xuan Phu"
"Bac Giang","Yen Dung","Tan Lieu"
"Bac Giang","Yen Dung","Yen Lu"
"Bac Giang","Luc Ngan","Kien Lao"
"Bac Giang","Viet Yen","Nghia Trung"
"Bac Giang","Yen Dung","Dong Phuc"
"Bac Giang","Lang Giang","Tan Thanh"
"Bac Giang","Viet Yen","Van Trung"
"Bac Giang","Viet Yen","Thi tran Bich Dong"
"Bac Giang","Lang Giang","Dai Lam"
"Bac Giang","Son Dong","Dai Son"
"Bac Giang","Luc Nam","Truong Son"
"Bac Giang","Thanh pho Bac Giang","Xuong Giang"
"Bac Giang","Thanh pho Bac Giang","Hoang Van Thu"
"Bac Giang","Hiep Hoa","Hop Thinh"
"Bac Giang","Thanh pho Bac Giang","Da Mai"
"Bac Giang","Yen Dung","Duc Giang"
"Bac Giang","Luc Nam","Binh Son"
"Bac Giang","Luc Nam","Cam Ly"
"Bac Giang","Son Dong","An Lac"
"Bac Giang","Lang Giang","Duong Duc"
"Bac Giang","Thanh pho Bac Giang","Song Khe"
"Bac Giang","Yen The","An Thuong"
"Bac Giang","Son Dong","Tay Yen Tu"
"Bac Giang","Yen The","Dong Huu"
"Bac Giang","Thanh pho Bac Giang","Tran Phu"
"Bac Giang","Lang Giang","Huong Son"
"Bac Giang","Luc Nam","Thi tran Doi Ngo"
"Bac Giang","Tan Yen","Lien Chung"
"Bac Giang","Yen The","Thi tran Bo Ha"
"Bac Giang","Yen The","Phon Xuong"
"Bac Giang","Tan Yen","Ngoc Thien"
"Bac Giang","Luc Nam","Yen Son"
"Bac Giang","Tan Yen","Dai Hoa"
"Bac Giang","Tan Yen","Viet Ngoc"
"Bac Giang","Luc Nam","Chu Dien"
"Bac Giang","Son Dong","Le Vien"
"Bac Giang","Viet Yen","Thuong Lan"
"Bac Giang","Viet Yen","Minh Duc"
"Bac Giang","Luc Ngan","Giap Son"
"Bac Giang","Yen Dung","Noi Hoang"
"Bac Giang","Tan Yen","Que Nham"
"Bac Giang","Luc Ngan","Sa Ly"
"Bac Giang","Tan Yen","Ngoc Ly"
"Bac Giang","Luc Ngan","Phong Van"
"Bac Giang","Luc Ngan","Dong Coc"
"Bac Giang","Tan Yen","Ngoc Chau"
"Bac Giang","Lang Giang","My Thai"
"Bac Giang","Luc Ngan","Bien Son"
"Bac Giang","Son Dong","Phuc Son"
"Bac Giang","Luc Nam","Nghia Phuong"
"Bac Giang","Yen Dung","Tien Dung"
"Bac Giang","Luc Ngan","Tru Huu"
"Bac Giang","Viet Yen","Tien Son"
"Bac Giang","Viet Yen","Ninh Son"
"Bac Giang","Yen The","Dong Vuong"
"Bac Giang","Thanh pho Bac Giang","My Do"
"Bac Giang","Tan Yen","Thi tran Cao thuong"
"Bac Giang","Tan Yen","Lam Cot"
"Bac Giang","Luc Nam","Bao Son"
"Bac Giang","Son Dong","Thanh Luan"
"Bac Giang","Thanh pho Bac Giang","Dong Son"
"Bac Giang","Son Dong","Long Son"
"Bac Giang","Son Dong","Cam Dan"
"Bac Giang","Lang Giang","Nghia Hung"
"Bac Giang","Luc Nam","Tien Nha"
"Bac Giang","Yen Dung","Tu Mai"
"Bac Giang","Tan Yen","Viet Lap"
"Bac Giang","Yen The","Dong Son"
"Bac Giang","Viet Yen","Trung Son"
"Bac Giang","Hiep Hoa","Huong Lam"
"Bac Giang","Tan Yen","Cao Xa"
"Bac Giang","Tan Yen","Quang Tien"
"Bac Giang","Son Dong","Duong Huu"
"Bac Giang","Tan Yen","Phuc Hoa"
"Bac Giang","Hiep Hoa","Dong Tan"
"Bac Giang","Son Dong","Vinh An"
"Bac Giang","Luc Nam","Phuong Son"
"Bac Giang","Son Dong","Thi tran An Chau"
"Bac Giang","Yen Dung","Tri Yen"
"Bac Giang","Thanh pho Bac Giang","Tan My"
"Bac Giang","Luc Nam","Cuong Son"
"Bac Giang","Luc Ngan","Bien Dong"
"Bac Giang","Son Dong","Yen Dinh"
"Bac Giang","Luc Ngan","Tan Hoa"
"Bac Giang","Son Dong","Tuan Dao"
"Bac Giang","Luc Nam","Vu Xa"
"Bac Giang","Yen Dung","Dong Viet"
"Bac Giang","Luc Nam","Dong Hung"
"Bac Giang","Luc Ngan","Hong Giang"
"Bac Giang","Luc Nam","Truong Giang"
"Bac Giang","Tan Yen","An Duong"
"Bac Giang","Luc Ngan","Tan Moc"
"Bac Giang","Yen The","Tam Hiep"
"Bac Giang","Yen The","Dong Ky"
"Bac Giang","Yen Dung","Lao Ho"
"Bac Giang","Luc Nam","Kham Lang"
"Bac Giang","Yen The","Dong Tam"
"Bac Giang","Luc Ngan","Ho Dap"
"Bac Giang","Luc Ngan","Phi Dien"
"Bac Giang","Luc Ngan","Kim Son"
"Bac Giang","Lang Giang","Xuan Huong"
"Bac Giang","Thanh pho Bac Giang","Tran Nguyen Han"
"Bac Giang","Luc Ngan","Tan Lap"
"Bac Giang","Luc Nam","Luc Son"
"Bac Giang","Thanh pho Bac Giang","Ngo Quyen"
"Bac Giang","Hiep Hoa","Dai Thanh"
"Bac Giang","Luc Ngan","Tan Son"
"Bac Giang","Son Dong","Van Son"
"Bac Giang","Yen The","Huong Vi"
"Bac Giang","Tan Yen","Hop Duc"
"Bac Giang","Luc Ngan","Deo Gia"
"Bac Giang","Tan Yen","Lan Gioi"
"Bac Giang","Yen The","Tan Hiep"
"Bac Giang","Luc Ngan","Phong Minh"
"Bac Giang","Viet Yen","Hoang Ninh"
"Bac Giang","Yen Dung","Song Khe"
"Bac Giang","Viet Yen","Bich Son"
"Bac Giang","Tan Yen","Cao Thuong"
"Bac Giang","Hiep Hoa","Thi Tran Thuong Xuan"
"Bac Giang","Hiep Hoa","A Dot"
"Bac Giang","Hiep Hoa","Duc Thang"
"Bac Giang","Yen The","Thi tran Cau Go"
"Bac Giang","Lang Giang","Tan Thinh"
"Bac Giang","Luc Nam","Thi tran Luc Nam"
"Bac Giang","Tan Yen","Nha Nam"
"Bac Giang","Yen The","Bo Ha"
"Bac Giang","Lang Giang","Phi Mo"
"Bac Kan","Cho Don","Thi Tran Bang Lung"
"Bac Kan","Thanh pho Bac Kan","Phung Chi Kien"
"Bac Kan","Ngan Son","Thi Tran Na Phac"
"Bac Kan","Thanh pho Bac Kan","Nguyen Thi Minh Khai"
"Bac Kan","Cho Moi","Thanh Thinh"
"Bac Kan","Cho Moi","Tan Son"
"Bac Kan","Cho Moi","Cao Ky"
"Bac Kan","Cho Moi","Hoa Muc"
"Bac Kan","Cho Moi","Binh Van"
"Bac Kan","Cho Moi","Yen Han"
